,size,isEmpty,peek,peek_obj_type,calledMethod,pushInput,diff,testId,instanceId
132,1,False,1.0,class java.lang.Float,pop,none,No,1607319035739:003f0461-27c1-4c8f-9bba-90e30e168e46,1607319035739:f5ff7e61-acde-43df-b1ee-ca9b24e99d48
141,3,False,experiment.drivers.AlejaStackTestDriver@6ae40994,class experiment.drivers.AlejaStackTestDriver,push,class experiment.drivers.AlejaStackTestDriver,No,1607319035739:003f0461-27c1-4c8f-9bba-90e30e168e46,1607319035739:1da0a77a-15d7-48c2-a937-cd7f84b1ed34
142,2,False,experiment.drivers.AlejaStackTestDriver@6ae40994,class experiment.drivers.AlejaStackTestDriver,push,class experiment.drivers.AlejaStackTestDriver,No,1607319035739:003f0461-27c1-4c8f-9bba-90e30e168e46,1607319035739:f5ff7e61-acde-43df-b1ee-ca9b24e99d48
157,2,False,10.0,class java.lang.Float,push,class java.lang.Float,No,1607319035739:003f0461-27c1-4c8f-9bba-90e30e168e46,1607319035739:3d076b73-01df-40d8-9653-e2596c18b0f4
159,1,False,experiment.drivers.AlejaStackTestDriver@1a93a7ca,class experiment.drivers.AlejaStackTestDriver,push,class experiment.drivers.AlejaStackTestDriver,No,1607319035739:003f0461-27c1-4c8f-9bba-90e30e168e46,1607319035739:21d6877f-26fe-4044-bcdd-4ce0782d7bc5
163,3,False,class java.lang.Object,class java.lang.Class,push,class java.lang.Class,No,1607319035739:003f0461-27c1-4c8f-9bba-90e30e168e46,1607319035739:6a63e1fd-d919-4290-bfc4-a861fb9fe614
164,3,False,experiment.drivers.AlejaStackTestDriver@1a93a7ca,class experiment.drivers.AlejaStackTestDriver,push,class experiment.drivers.AlejaStackTestDriver,No,1607319035739:003f0461-27c1-4c8f-9bba-90e30e168e46,1607319035739:f5ff7e61-acde-43df-b1ee-ca9b24e99d48
165,2,False,10.0,class java.lang.Float,pop,none,No,1607319035739:003f0461-27c1-4c8f-9bba-90e30e168e46,1607319035739:6a63e1fd-d919-4290-bfc4-a861fb9fe614
182,1,False,experiment.drivers.AlejaStackTestDriver@3d82c5f3,class experiment.drivers.AlejaStackTestDriver,push,class experiment.drivers.AlejaStackTestDriver,No,1607319035739:61437661-7577-480a-90cb-41d0d12e4fb4,1607319035739:86965b22-e903-4b2c-bb33-f0804b7e8fe4
203,1,False,100,class java.lang.Long,pop,none,No,1607319035739:4268a0d5-be15-4f52-ba84-c4692116d1b5,1607319035739:ed31f18c-dda8-48c6-a86b-91f861806fa7
207,2,False,class java.lang.Object,class java.lang.Class,push,class java.lang.Class,No,1607319035739:4268a0d5-be15-4f52-ba84-c4692116d1b5,1607319035739:ed31f18c-dda8-48c6-a86b-91f861806fa7
208,2,False,experiment.drivers.AlejaStackTestDriver@2b05039f,class experiment.drivers.AlejaStackTestDriver,push,class experiment.drivers.AlejaStackTestDriver,No,1607319035739:4268a0d5-be15-4f52-ba84-c4692116d1b5,1607319035739:293788a7-327b-4af4-ac51-218380542593
220,1,False,10,class java.lang.Short,pop,none,No,1607319035739:6aad4368-2270-4fb8-b077-af4f88832ddd,1607319035739:3431129e-838d-4544-82ac-2a12a973dd62
242,3,False,experiment.drivers.AlejaStackTestDriver@61e717c2,class experiment.drivers.AlejaStackTestDriver,push,class experiment.drivers.AlejaStackTestDriver,No,1607319035751:93679958-c26b-4516-b081-e4858ceaf1b8,1607319035751:2fd9c31f-877e-4808-bd82-cfac4b69484e
243,2,False,experiment.drivers.AlejaStackTestDriver@61e717c2,class experiment.drivers.AlejaStackTestDriver,push,class experiment.drivers.AlejaStackTestDriver,No,1607319035751:93679958-c26b-4516-b081-e4858ceaf1b8,1607319035751:567a626c-70cd-4240-9277-8f5dbb2b1b8b
255,1,False,experiment.drivers.AlejaStackTestDriver@66cd51c3,class experiment.drivers.AlejaStackTestDriver,push,class experiment.drivers.AlejaStackTestDriver,No,1607319035751:93679958-c26b-4516-b081-e4858ceaf1b8,1607319035751:b148ac51-d431-4840-8ab1-fb928cf9d7a4
257,2,False,experiment.drivers.AlejaStackTestDriver@66cd51c3,class experiment.drivers.AlejaStackTestDriver,push,class experiment.drivers.AlejaStackTestDriver,No,1607319035751:93679958-c26b-4516-b081-e4858ceaf1b8,1607319035751:5b3f6280-4bef-4045-99b2-6f99a85d9ef9
258,1,False,experiment.drivers.AlejaStackTestDriver@4dcbadb4,class experiment.drivers.AlejaStackTestDriver,push,class experiment.drivers.AlejaStackTestDriver,No,1607319035751:93679958-c26b-4516-b081-e4858ceaf1b8,1607319035751:003e6d87-087b-428c-aa6d-942240022fe4
260,3,False,experiment.drivers.AlejaStackTestDriver@66cd51c3,class experiment.drivers.AlejaStackTestDriver,push,class experiment.drivers.AlejaStackTestDriver,No,1607319035751:93679958-c26b-4516-b081-e4858ceaf1b8,1607319035751:567a626c-70cd-4240-9277-8f5dbb2b1b8b
270,1,False,experiment.drivers.AlejaStackTestDriver@4e515669,class experiment.drivers.AlejaStackTestDriver,push,class experiment.drivers.AlejaStackTestDriver,No,1607319035751:e4f7de00-4ac3-4074-a44d-5ee006e858d2,1607319035751:07a47d85-6dc0-4ede-a6f7-72c28a5bf7fb
282,1,False,experiment.drivers.AlejaStackTestDriver@17d10166,class experiment.drivers.AlejaStackTestDriver,push,class experiment.drivers.AlejaStackTestDriver,No,1607319035751:c32a2508-a2fd-49f8-8860-996145971e61,1607319035751:0f916e69-c342-4fc9-ae72-4d9137d78887
319,1,False,experiment.drivers.AlejaStackTestDriver@1b9e1916,class experiment.drivers.AlejaStackTestDriver,push,class experiment.drivers.AlejaStackTestDriver,No,1607319035751:3e2c5ff5-a8e3-4d92-99d8-8fee340f49bb,1607319035751:374e2770-5c0d-4655-8d11-0d077d43d876
320,2,False,10,class java.lang.Short,push,class java.lang.Short,No,1607319035751:3e2c5ff5-a8e3-4d92-99d8-8fee340f49bb,1607319035751:374e2770-5c0d-4655-8d11-0d077d43d876
331,3,False,experiment.drivers.AlejaStackTestDriver@ba8a1dc,class experiment.drivers.AlejaStackTestDriver,push,class experiment.drivers.AlejaStackTestDriver,No,1607319035751:2e0f3335-8bc3-4c1a-8d32-4c451455f5c3,1607319035751:d7866487-dea3-4037-bf70-b23e145272d0
347,1,False,experiment.drivers.AlejaStackTestDriver@4f8e5cde,class experiment.drivers.AlejaStackTestDriver,push,class experiment.drivers.AlejaStackTestDriver,No,1607319035751:c429e901-9ce0-4e73-8537-9ebb7a1db828,1607319035751:4450bb6a-0916-4ade-a3c2-579573892a2b
371,1,False,experiment.drivers.AlejaStackTestDriver@504bae78,class experiment.drivers.AlejaStackTestDriver,push,class experiment.drivers.AlejaStackTestDriver,No,1607319035751:7f99fe54-b8a8-49a8-943d-db9a76b351e1,1607319035751:76d107e3-82b4-4e07-b083-47166f3f2a09
377,2,False,0.0,class java.lang.Double,pop,none,No,1607319035751:7f99fe54-b8a8-49a8-943d-db9a76b351e1,1607319035751:cf97a234-d569-49f6-bda2-4bee06fdfc4c
387,3,False,experiment.drivers.AlejaStackTestDriver@3b764bce,class experiment.drivers.AlejaStackTestDriver,push,class experiment.drivers.AlejaStackTestDriver,No,1607319035751:7f99fe54-b8a8-49a8-943d-db9a76b351e1,1607319035751:cf97a234-d569-49f6-bda2-4bee06fdfc4c
391,2,False,0.0,class java.lang.Float,push,class java.lang.Float,No,1607319035751:ac2fdc81-756e-4c60-ac19-a27d2cbb82d6,1607319035751:73be0104-185f-4aaf-a93b-6942de74020b
414,1,False,experiment.drivers.AlejaStackTestDriver@759ebb3d,class experiment.drivers.AlejaStackTestDriver,push,class experiment.drivers.AlejaStackTestDriver,No,1607319035751:ac2fdc81-756e-4c60-ac19-a27d2cbb82d6,1607319035751:da29d2bb-a74b-40c7-80d0-aaf76c75602d
416,2,False,experiment.drivers.AlejaStackTestDriver@759ebb3d,class experiment.drivers.AlejaStackTestDriver,push,class experiment.drivers.AlejaStackTestDriver,No,1607319035751:ac2fdc81-756e-4c60-ac19-a27d2cbb82d6,1607319035751:0702a682-5107-4ae0-a566-d1e9f56dafdb
417,4,False,experiment.drivers.AlejaStackTestDriver@484b61fc,class experiment.drivers.AlejaStackTestDriver,push,class experiment.drivers.AlejaStackTestDriver,No,1607319035751:ac2fdc81-756e-4c60-ac19-a27d2cbb82d6,1607319035751:73be0104-185f-4aaf-a93b-6942de74020b
434,1,False,experiment.drivers.AlejaStackTestDriver@45fe3ee3,class experiment.drivers.AlejaStackTestDriver,push,class experiment.drivers.AlejaStackTestDriver,No,1607319035751:45efeca2-afb2-4dcc-a17a-2e9d4174b047,1607319035751:7bf0f3fb-31ae-4927-ac9b-a5f9c0a2ef69
444,3,False,experiment.drivers.AlejaStackTestDriver@4cdf35a9,class experiment.drivers.AlejaStackTestDriver,push,class experiment.drivers.AlejaStackTestDriver,No,1607319035751:49fa9aad-7892-4f18-b05b-424fe4af2889,1607319035751:999c259c-158f-4a3c-aca1-3764d4fa9bed
445,2,False,false,class java.lang.Boolean,pop,none,No,1607319035751:49fa9aad-7892-4f18-b05b-424fe4af2889,1607319035751:999c259c-158f-4a3c-aca1-3764d4fa9bed
458,3,False,1.0,class java.lang.Double,push,class java.lang.Double,No,1607319035751:cf5791ba-4deb-4642-a88d-13f037141353,1607319035751:aa5deda8-8279-47c8-8201-81d1b2798fa0
478,2,False,experiment.drivers.AlejaStackTestDriver@4c98385c,class experiment.drivers.AlejaStackTestDriver,push,class experiment.drivers.AlejaStackTestDriver,No,1607319035751:cf5791ba-4deb-4642-a88d-13f037141353,1607319035751:6297dfd6-82bc-4e37-88b1-57452c0b9430
489,1,False,experiment.drivers.AlejaStackTestDriver@5fcfe4b2,class experiment.drivers.AlejaStackTestDriver,push,class experiment.drivers.AlejaStackTestDriver,No,1607319035751:cf5791ba-4deb-4642-a88d-13f037141353,1607319035751:5dfca9db-2a4c-46d9-ba2f-39a7644a6123
490,2,False,experiment.drivers.AlejaStackTestDriver@5fcfe4b2,class experiment.drivers.AlejaStackTestDriver,push,class experiment.drivers.AlejaStackTestDriver,No,1607319035751:cf5791ba-4deb-4642-a88d-13f037141353,1607319035751:6297dfd6-82bc-4e37-88b1-57452c0b9430
508,1,False,experiment.drivers.AlejaStackTestDriver@6bf2d08e,class experiment.drivers.AlejaStackTestDriver,push,class experiment.drivers.AlejaStackTestDriver,No,1607319035751:cf5791ba-4deb-4642-a88d-13f037141353,1607319035751:50d6dbe0-2bcd-43f7-8636-b9fdf968ec25
515,3,False,10.0,class java.lang.Float,push,class java.lang.Float,No,1607319035751:cf5791ba-4deb-4642-a88d-13f037141353,1607319035751:50d6dbe0-2bcd-43f7-8636-b9fdf968ec25
517,1,False,experiment.drivers.AlejaStackTestDriver@5fcfe4b2,class experiment.drivers.AlejaStackTestDriver,pop,none,No,1607319035751:cf5791ba-4deb-4642-a88d-13f037141353,1607319035751:aa5deda8-8279-47c8-8201-81d1b2798fa0
533,3,False,experiment.drivers.AlejaStackTestDriver@5eb5c224,class experiment.drivers.AlejaStackTestDriver,push,class experiment.drivers.AlejaStackTestDriver,No,1607319035751:c817d5ea-84c9-4c3b-921b-1823e997a471,1607319035751:5bbc0ceb-9b27-4af9-ae0a-c406c21db386
534,2,False,experiment.drivers.AlejaStackTestDriver@5eb5c224,class experiment.drivers.AlejaStackTestDriver,push,class experiment.drivers.AlejaStackTestDriver,No,1607319035751:c817d5ea-84c9-4c3b-921b-1823e997a471,1607319035751:e917e558-690f-49ef-94e5-5c529534b4be
551,1,False,experiment.drivers.AlejaStackTestDriver@53e25b76,class experiment.drivers.AlejaStackTestDriver,push,class experiment.drivers.AlejaStackTestDriver,No,1607319035751:c817d5ea-84c9-4c3b-921b-1823e997a471,1607319035751:36b16058-382b-491b-8b8c-140d239f4717
556,3,False,experiment.drivers.AlejaStackTestDriver@53e25b76,class experiment.drivers.AlejaStackTestDriver,push,class experiment.drivers.AlejaStackTestDriver,No,1607319035751:c817d5ea-84c9-4c3b-921b-1823e997a471,1607319035751:e917e558-690f-49ef-94e5-5c529534b4be
573,1,False,experiment.drivers.AlejaStackTestDriver@73a8dfcc,class experiment.drivers.AlejaStackTestDriver,push,class experiment.drivers.AlejaStackTestDriver,No,1607319035766:a15b4484-26b1-432a-bf94-816bdeebd5eb,1607319035766:1fa9b110-ab9f-48e3-a7c3-68f4705bdbb7
585,1,False,experiment.drivers.AlejaStackTestDriver@ea30797,class experiment.drivers.AlejaStackTestDriver,push,class experiment.drivers.AlejaStackTestDriver,No,1607319035766:a15b4484-26b1-432a-bf94-816bdeebd5eb,1607319035766:930aec92-35a3-473d-81e7-f669bc83bab9
587,2,False,experiment.drivers.AlejaStackTestDriver@ea30797,class experiment.drivers.AlejaStackTestDriver,push,class experiment.drivers.AlejaStackTestDriver,No,1607319035766:a15b4484-26b1-432a-bf94-816bdeebd5eb,1607319035766:4fe024b5-dc54-458d-abe1-73bffaa9522d
588,1,False,experiment.drivers.AlejaStackTestDriver@7e774085,class experiment.drivers.AlejaStackTestDriver,push,class experiment.drivers.AlejaStackTestDriver,No,1607319035766:a15b4484-26b1-432a-bf94-816bdeebd5eb,1607319035766:ae11cbb3-f01e-4642-b6b7-b5b6033310b4
589,2,False,experiment.drivers.AlejaStackTestDriver@7e774085,class experiment.drivers.AlejaStackTestDriver,push,class experiment.drivers.AlejaStackTestDriver,No,1607319035766:a15b4484-26b1-432a-bf94-816bdeebd5eb,1607319035766:1fa9b110-ab9f-48e3-a7c3-68f4705bdbb7
609,1,False,experiment.drivers.AlejaStackTestDriver@3f8f9dd6,class experiment.drivers.AlejaStackTestDriver,push,class experiment.drivers.AlejaStackTestDriver,No,1607319035766:14d356b9-06a1-4cc0-98b3-45f00f753290,1607319035766:08629166-3205-4f01-82e3-b35172af01d2
611,2,False,experiment.drivers.AlejaStackTestDriver@3f8f9dd6,class experiment.drivers.AlejaStackTestDriver,push,class experiment.drivers.AlejaStackTestDriver,No,1607319035766:14d356b9-06a1-4cc0-98b3-45f00f753290,1607319035766:6e9c9a04-dd5d-42ea-a4e3-4f58d89064de
612,1,False,experiment.drivers.AlejaStackTestDriver@aec6354,class experiment.drivers.AlejaStackTestDriver,push,class experiment.drivers.AlejaStackTestDriver,No,1607319035766:14d356b9-06a1-4cc0-98b3-45f00f753290,1607319035766:3833e0d0-3d74-4972-b5fc-e543697cefd7
639,1,False,experiment.drivers.AlejaStackTestDriver@1c655221,class experiment.drivers.AlejaStackTestDriver,push,class experiment.drivers.AlejaStackTestDriver,No,1607319035766:14d356b9-06a1-4cc0-98b3-45f00f753290,1607319035766:e2cf041b-2278-464d-bc48-a46e8847a836
641,2,False,experiment.drivers.AlejaStackTestDriver@1c655221,class experiment.drivers.AlejaStackTestDriver,push,class experiment.drivers.AlejaStackTestDriver,No,1607319035766:14d356b9-06a1-4cc0-98b3-45f00f753290,1607319035766:f50b6415-17e6-4080-b5f0-a96a639b0e3e
642,4,False,experiment.drivers.AlejaStackTestDriver@58d25a40,class experiment.drivers.AlejaStackTestDriver,push,class experiment.drivers.AlejaStackTestDriver,No,1607319035766:14d356b9-06a1-4cc0-98b3-45f00f753290,1607319035766:ebec678d-7686-4d07-9eae-c7c3b7bc14c6
643,2,False,experiment.drivers.AlejaStackTestDriver@1b701da1,class experiment.drivers.AlejaStackTestDriver,push,class experiment.drivers.AlejaStackTestDriver,No,1607319035766:14d356b9-06a1-4cc0-98b3-45f00f753290,1607319035766:6e9c9a04-dd5d-42ea-a4e3-4f58d89064de
644,3,False,class java.lang.Object,class java.lang.Class,pop,none,No,1607319035766:14d356b9-06a1-4cc0-98b3-45f00f753290,1607319035766:ebec678d-7686-4d07-9eae-c7c3b7bc14c6
661,2,False,-1,class java.lang.Byte,push,class java.lang.Byte,No,1607319035766:13ca4edf-cba8-4b27-a797-f930cc049efd,1607319035766:bf806e60-fe4f-47ef-b727-2b30c242e89c
688,2,False,experiment.drivers.AlejaStackTestDriver@726f3b58,class experiment.drivers.AlejaStackTestDriver,push,class experiment.drivers.AlejaStackTestDriver,No,1607319035766:e2e1c3d0-ed0e-4e74-9c56-499d7a7be874,1607319035766:72c191c0-9fd0-4633-a52e-1e11cc01ab23
699,1,False,experiment.drivers.AlejaStackTestDriver@442d9b6e,class experiment.drivers.AlejaStackTestDriver,push,class experiment.drivers.AlejaStackTestDriver,No,1607319035766:e2e1c3d0-ed0e-4e74-9c56-499d7a7be874,1607319035766:db8c90a9-d23b-46f4-8bb8-b222f97bb252
700,2,False,experiment.drivers.AlejaStackTestDriver@442d9b6e,class experiment.drivers.AlejaStackTestDriver,push,class experiment.drivers.AlejaStackTestDriver,No,1607319035766:e2e1c3d0-ed0e-4e74-9c56-499d7a7be874,1607319035766:72c191c0-9fd0-4633-a52e-1e11cc01ab23
719,1,False,experiment.drivers.AlejaStackTestDriver@ee7d9f1,class experiment.drivers.AlejaStackTestDriver,push,class experiment.drivers.AlejaStackTestDriver,No,1607319035766:e2e1c3d0-ed0e-4e74-9c56-499d7a7be874,1607319035766:cd8777e9-efb2-4e72-a07f-9fb9a5200960
752,2,False,experiment.drivers.AlejaStackTestDriver@15615099,class experiment.drivers.AlejaStackTestDriver,push,class experiment.drivers.AlejaStackTestDriver,No,1607319035766:3e25e15d-1b9d-4464-a18a-4bac21f8fb5d,1607319035766:22a71609-c531-4d99-9837-a4ff63df0b22
763,1,False,experiment.drivers.AlejaStackTestDriver@1edf1c96,class experiment.drivers.AlejaStackTestDriver,push,class experiment.drivers.AlejaStackTestDriver,No,1607319035766:3e25e15d-1b9d-4464-a18a-4bac21f8fb5d,1607319035766:62771956-dcad-49c4-a789-e4b16f195ad7
764,2,False,experiment.drivers.AlejaStackTestDriver@1edf1c96,class experiment.drivers.AlejaStackTestDriver,push,class experiment.drivers.AlejaStackTestDriver,No,1607319035766:3e25e15d-1b9d-4464-a18a-4bac21f8fb5d,1607319035766:22a71609-c531-4d99-9837-a4ff63df0b22
783,1,False,experiment.drivers.AlejaStackTestDriver@368102c8,class experiment.drivers.AlejaStackTestDriver,push,class experiment.drivers.AlejaStackTestDriver,No,1607319035766:3e25e15d-1b9d-4464-a18a-4bac21f8fb5d,1607319035766:f4bfd472-3344-44f7-9525-6bd6d012d73c
801,1,False,experiment.drivers.AlejaStackTestDriver@6996db8,class experiment.drivers.AlejaStackTestDriver,push,class experiment.drivers.AlejaStackTestDriver,No,1607319035766:1ad4e93b-9f9f-48db-9e6d-bc7f30a1fab9,1607319035766:1a4a9d25-4b87-48f5-858e-86f89b2775e4
812,1,False,experiment.drivers.AlejaStackTestDriver@1963006a,class experiment.drivers.AlejaStackTestDriver,push,class experiment.drivers.AlejaStackTestDriver,No,1607319035766:0bf04df6-eff6-4657-a3c7-48859aafb807,1607319035766:ad98b08c-a2b6-482d-9d70-e4ccd106c8a3
814,2,False,experiment.drivers.AlejaStackTestDriver@1963006a,class experiment.drivers.AlejaStackTestDriver,push,class experiment.drivers.AlejaStackTestDriver,No,1607319035766:0bf04df6-eff6-4657-a3c7-48859aafb807,1607319035766:dd7bf0cc-9ede-4bc0-a690-4c625a9d4d7a
826,1,False,experiment.drivers.AlejaStackTestDriver@7fbe847c,class experiment.drivers.AlejaStackTestDriver,push,class experiment.drivers.AlejaStackTestDriver,No,1607319035766:31e6391f-9127-48b9-9b1a-c85e48e7838b,1607319035766:6bacf9dc-5ce2-4e29-aadc-cff93cf6b0f7
849,1,False,experiment.drivers.AlejaStackTestDriver@41975e01,class experiment.drivers.AlejaStackTestDriver,push,class experiment.drivers.AlejaStackTestDriver,No,1607319035766:31e6391f-9127-48b9-9b1a-c85e48e7838b,1607319035766:7f92318f-8d8d-4121-bf90-1b135a89e057
870,3,False,experiment.drivers.AlejaStackTestDriver@c2e1f26,class experiment.drivers.AlejaStackTestDriver,push,class experiment.drivers.AlejaStackTestDriver,No,1607319035766:a77d2140-08c5-4658-b593-cbe755d1ffb8,1607319035766:a2263fa3-a69f-453a-a51f-1632772ee1db
871,2,False,true,class java.lang.Boolean,push,class java.lang.Boolean,No,1607319035766:a77d2140-08c5-4658-b593-cbe755d1ffb8,1607319035766:17abcb7c-ee5e-4c56-a9ae-9bef6b2ca453
893,1,False,experiment.drivers.AlejaStackTestDriver@dcf3e99,class experiment.drivers.AlejaStackTestDriver,push,class experiment.drivers.AlejaStackTestDriver,No,1607319035766:a77d2140-08c5-4658-b593-cbe755d1ffb8,1607319035766:3aa65497-732d-4b24-87ab-a822b4dd795f
909,3,False,experiment.drivers.AlejaStackTestDriver@6d9c638,class experiment.drivers.AlejaStackTestDriver,push,class experiment.drivers.AlejaStackTestDriver,No,1607319035766:a77d2140-08c5-4658-b593-cbe755d1ffb8,1607319035766:92841946-deb5-47fa-8957-18b69dc0eae7
910,3,False,experiment.drivers.AlejaStackTestDriver@7dc5e7b4,class experiment.drivers.AlejaStackTestDriver,push,class experiment.drivers.AlejaStackTestDriver,No,1607319035766:a77d2140-08c5-4658-b593-cbe755d1ffb8,1607319035766:17abcb7c-ee5e-4c56-a9ae-9bef6b2ca453
921,1,False,experiment.drivers.AlejaStackTestDriver@1ee0005,class experiment.drivers.AlejaStackTestDriver,push,class experiment.drivers.AlejaStackTestDriver,No,1607319035766:402225c6-f913-4016-bfce-a1345ca94cde,1607319035766:ce93b130-024f-422d-8d82-70869e3b4b5c
923,2,False,experiment.drivers.AlejaStackTestDriver@1ee0005,class experiment.drivers.AlejaStackTestDriver,push,class experiment.drivers.AlejaStackTestDriver,No,1607319035766:402225c6-f913-4016-bfce-a1345ca94cde,1607319035766:956262e8-a4fd-4285-9f54-e8c59fdf9d5c
937,1,False,100,class java.lang.Byte,pop,none,No,1607319035766:9fc88829-2bec-458b-9be8-a3449bd44ff4,1607319035766:4ffce376-7ed5-47c9-9f50-acd7875c5a95
956,1,False,experiment.drivers.AlejaStackTestDriver@75a1cd57,class experiment.drivers.AlejaStackTestDriver,push,class experiment.drivers.AlejaStackTestDriver,No,1607319035766:1882dc97-98e5-45b8-b676-8d435aad2352,1607319035766:a5df10a8-8212-43b4-b9b4-a6b5d4bdb821
975,4,False,class java.lang.Object,class java.lang.Class,push,class java.lang.Class,No,1607319035766:1882dc97-98e5-45b8-b676-8d435aad2352,1607319035766:a5df10a8-8212-43b4-b9b4-a6b5d4bdb821
980,1,False,experiment.drivers.AlejaStackTestDriver@3d012ddd,class experiment.drivers.AlejaStackTestDriver,push,class experiment.drivers.AlejaStackTestDriver,No,1607319035766:2c0c7aba-5a36-4639-878b-7782c3556c43,1607319035766:05e12ebc-132e-4a6f-9ef4-329bf5f000d4
1002,3,False,experiment.drivers.AlejaStackTestDriver@6f2b958e,class experiment.drivers.AlejaStackTestDriver,push,class experiment.drivers.AlejaStackTestDriver,No,1607319035766:95f357fe-2465-430f-ab82-d3f58e850aad,1607319035766:a6411f8b-67ef-46aa-b95d-4edcb54502f3
1003,2,False,experiment.drivers.AlejaStackTestDriver@6f2b958e,class experiment.drivers.AlejaStackTestDriver,push,class experiment.drivers.AlejaStackTestDriver,No,1607319035766:95f357fe-2465-430f-ab82-d3f58e850aad,1607319035766:e849ebe6-5089-4ce5-b786-004a9976a0d3
1020,1,False,experiment.drivers.AlejaStackTestDriver@1eb44e46,class experiment.drivers.AlejaStackTestDriver,push,class experiment.drivers.AlejaStackTestDriver,No,1607319035766:95f357fe-2465-430f-ab82-d3f58e850aad,1607319035766:dfbb52cc-9db9-42b1-a67b-148e5d32333d
1025,3,False,experiment.drivers.AlejaStackTestDriver@1eb44e46,class experiment.drivers.AlejaStackTestDriver,push,class experiment.drivers.AlejaStackTestDriver,No,1607319035766:95f357fe-2465-430f-ab82-d3f58e850aad,1607319035766:e849ebe6-5089-4ce5-b786-004a9976a0d3
