,testId,instanceId,size,isEmpty,peek_obj_type,push,pop,clear,diff
22,1607893604028:678383b4-b13b-4957-b77b-292652805766,1607893604028:8ec7a2a3-f27f-48d8-a894-f65b751d2d39,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""none""","pop == ""EmptyObject""","clear == ""none""",No
24,1607893604028:3ff277d8-558e-48c1-898b-9e59f872c693,1607893604028:e382b05f-e629-495f-9364-5a33a4c601f4,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""class java.lang.String""","pop == ""none""","clear == ""none""",Yes
25,1607893604028:3ff277d8-558e-48c1-898b-9e59f872c693,1607893604028:e382b05f-e629-495f-9364-5a33a4c601f4,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""none""","pop == ""EmptyObject""","clear == ""none""",No
27,1607893604028:39ac77e2-7a53-4b28-953b-29eb6355b7ca,1607893604028:df1e341f-d7cd-4c8f-aa95-c24f8eb26a20,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""class java.lang.String""","pop == ""none""","clear == ""none""",Yes
28,1607893604028:39ac77e2-7a53-4b28-953b-29eb6355b7ca,1607893604028:df1e341f-d7cd-4c8f-aa95-c24f8eb26a20,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""none""","pop == ""EmptyObject""","clear == ""none""",No
30,1607893604028:39ac77e2-7a53-4b28-953b-29eb6355b7ca,1607893604028:85f83210-e3f6-4047-82dc-835492929649,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""class java.lang.String""","pop == ""none""","clear == ""none""",Yes
31,1607893604028:39ac77e2-7a53-4b28-953b-29eb6355b7ca,1607893604028:85f83210-e3f6-4047-82dc-835492929649,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""class java.lang.String""","pop == ""none""","clear == ""none""",Yes
33,1607893604028:36ddd5a2-8770-4667-bd9c-91ba7fdb7181,1607893604028:c23cd903-b244-4dd3-85a7-e1eee23ae7fd,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""class java.lang.String""","pop == ""none""","clear == ""none""",Yes
34,1607893604028:36ddd5a2-8770-4667-bd9c-91ba7fdb7181,1607893604028:c23cd903-b244-4dd3-85a7-e1eee23ae7fd,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""none""","pop == ""EmptyObject""","clear == ""none""",No
36,1607893604028:36ddd5a2-8770-4667-bd9c-91ba7fdb7181,1607893604028:b65da7c4-b2ad-4773-ab79-9dafa8a4ac27,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""class java.lang.String""","pop == ""none""","clear == ""none""",Yes
37,1607893604028:36ddd5a2-8770-4667-bd9c-91ba7fdb7181,1607893604028:b65da7c4-b2ad-4773-ab79-9dafa8a4ac27,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""class java.lang.String""","pop == ""none""","clear == ""none""",Yes
38,1607893604028:36ddd5a2-8770-4667-bd9c-91ba7fdb7181,1607893604028:b65da7c4-b2ad-4773-ab79-9dafa8a4ac27,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""class java.lang.String""","pop == ""none""","clear == ""none""",Yes
40,1607893604027:f627e729-4fec-42c1-989d-db331d3575d2,1607893604027:c3ab5888-22b7-444e-8895-a31d1a6b5e9e,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""none""","pop == ""none""","clear == ""clear""",No
41,1607893604027:f627e729-4fec-42c1-989d-db331d3575d2,1607893604027:c3ab5888-22b7-444e-8895-a31d1a6b5e9e,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""class java.lang.String""","pop == ""none""","clear == ""none""",Yes
42,1607893604027:f627e729-4fec-42c1-989d-db331d3575d2,1607893604027:c3ab5888-22b7-444e-8895-a31d1a6b5e9e,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""none""","pop == ""none""","clear == ""clear""",No
43,1607893604027:f627e729-4fec-42c1-989d-db331d3575d2,1607893604027:c3ab5888-22b7-444e-8895-a31d1a6b5e9e,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""none""","pop == ""none""","clear == ""clear""",No
44,1607893604027:f627e729-4fec-42c1-989d-db331d3575d2,1607893604027:c3ab5888-22b7-444e-8895-a31d1a6b5e9e,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""none""","pop == ""none""","clear == ""clear""",No
46,1607893604027:f627e729-4fec-42c1-989d-db331d3575d2,1607893604027:9b8e8d78-a7c4-4e27-800b-efe1029a24de,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""class java.lang.String""","pop == ""none""","clear == ""none""",Yes
47,1607893604027:f627e729-4fec-42c1-989d-db331d3575d2,1607893604027:9b8e8d78-a7c4-4e27-800b-efe1029a24de,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""none""","pop == ""EmptyObject""","clear == ""none""",No
49,1607893604027:c917a720-5a58-4653-a1bc-d0e56104e5c5,1607893604027:897e5ae8-1ecb-4be1-86f1-3e92971133cf,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""none""","pop == ""none""","clear == ""clear""",No
50,1607893604027:c917a720-5a58-4653-a1bc-d0e56104e5c5,1607893604027:897e5ae8-1ecb-4be1-86f1-3e92971133cf,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""class java.lang.String""","pop == ""none""","clear == ""none""",Yes
51,1607893604027:c917a720-5a58-4653-a1bc-d0e56104e5c5,1607893604027:897e5ae8-1ecb-4be1-86f1-3e92971133cf,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""none""","pop == ""EmptyObject""","clear == ""none""",No
53,1607893604027:669e0fd0-256b-48bb-b48f-3fb73ea0ead0,1607893604027:622aa3e3-f946-41f8-9cf8-ee84919beccc,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""none""","pop == ""none""","clear == ""clear""",No
54,1607893604027:669e0fd0-256b-48bb-b48f-3fb73ea0ead0,1607893604027:622aa3e3-f946-41f8-9cf8-ee84919beccc,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""class java.lang.String""","pop == ""none""","clear == ""none""",Yes
55,1607893604027:669e0fd0-256b-48bb-b48f-3fb73ea0ead0,1607893604027:622aa3e3-f946-41f8-9cf8-ee84919beccc,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""none""","pop == ""none""","clear == ""clear""",No
56,1607893604027:669e0fd0-256b-48bb-b48f-3fb73ea0ead0,1607893604027:622aa3e3-f946-41f8-9cf8-ee84919beccc,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""none""","pop == ""none""","clear == ""clear""",No
57,1607893604027:669e0fd0-256b-48bb-b48f-3fb73ea0ead0,1607893604027:622aa3e3-f946-41f8-9cf8-ee84919beccc,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""none""","pop == ""none""","clear == ""clear""",No
59,1607893604027:669e0fd0-256b-48bb-b48f-3fb73ea0ead0,1607893604027:39da1fa5-6802-47ae-883d-d5821360c41d,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""class java.lang.String""","pop == ""none""","clear == ""none""",Yes
60,1607893604027:669e0fd0-256b-48bb-b48f-3fb73ea0ead0,1607893604027:39da1fa5-6802-47ae-883d-d5821360c41d,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""none""","pop == ""EmptyObject""","clear == ""none""",No
62,1607893604027:14e396ab-eb16-4e3c-bb2c-6943dc5b4e8c,1607893604027:a551319f-5272-4818-bd0c-ed299e8f5bdb,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""class java.lang.String""","pop == ""none""","clear == ""none""",Yes
63,1607893604027:14e396ab-eb16-4e3c-bb2c-6943dc5b4e8c,1607893604027:a551319f-5272-4818-bd0c-ed299e8f5bdb,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""none""","pop == ""EmptyObject""","clear == ""none""",No
65,1607893604026:fcf6d661-ae7c-4bf9-a5e2-19a0a36b0a76,1607893604026:ddb2208f-9cc4-4fa7-b968-2423b7109d80,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""class java.lang.String""","pop == ""none""","clear == ""none""",Yes
66,1607893604026:fcf6d661-ae7c-4bf9-a5e2-19a0a36b0a76,1607893604026:ddb2208f-9cc4-4fa7-b968-2423b7109d80,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""none""","pop == ""EmptyObject""","clear == ""none""",No
68,1607893604026:f402cb54-97c4-4f00-b209-90407964b35a,1607893604026:f67c826f-c8e4-45c1-a21f-492fda943885,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""class java.lang.String""","pop == ""none""","clear == ""none""",Yes
69,1607893604026:f402cb54-97c4-4f00-b209-90407964b35a,1607893604026:f67c826f-c8e4-45c1-a21f-492fda943885,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""none""","pop == ""EmptyObject""","clear == ""none""",No
72,1607893604026:f402cb54-97c4-4f00-b209-90407964b35a,1607893604026:3eb9e964-3a79-48d3-86f0-d6b1e9d98ff5,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""class java.lang.String""","pop == ""none""","clear == ""none""",Yes
74,1607893604026:8bde7ffd-7ba9-4372-9d51-a52805d27651,1607893604026:bcb4c49b-28ba-44be-8e7b-7b359bc8c1ba,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""class java.lang.String""","pop == ""none""","clear == ""none""",Yes
75,1607893604026:8bde7ffd-7ba9-4372-9d51-a52805d27651,1607893604026:bcb4c49b-28ba-44be-8e7b-7b359bc8c1ba,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""none""","pop == ""EmptyObject""","clear == ""none""",No
77,1607893604026:7abed699-7eca-46dd-8358-dede09386378,1607893604026:308f8fa6-532d-46fc-9519-f21c4b69d758,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""class java.lang.String""","pop == ""none""","clear == ""none""",Yes
78,1607893604026:7abed699-7eca-46dd-8358-dede09386378,1607893604026:308f8fa6-532d-46fc-9519-f21c4b69d758,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""none""","pop == ""EmptyObject""","clear == ""none""",No
80,1607893604026:7abed699-7eca-46dd-8358-dede09386378,1607893604026:256ca913-bf2b-4a62-b366-def250b81231,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""class java.lang.String""","pop == ""none""","clear == ""none""",Yes
82,1607893604026:514e8307-dde6-4069-b4ee-af5445a14c8e,1607893604026:f1ac8879-0e7d-4126-b540-faaabbfd5e89,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""class java.lang.String""","pop == ""none""","clear == ""none""",Yes
83,1607893604026:514e8307-dde6-4069-b4ee-af5445a14c8e,1607893604026:f1ac8879-0e7d-4126-b540-faaabbfd5e89,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""none""","pop == ""EmptyObject""","clear == ""none""",No
85,1607893604026:514e8307-dde6-4069-b4ee-af5445a14c8e,1607893604026:b42afde3-ef21-439a-a9ff-043a5cc80e85,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""none""","pop == ""none""","clear == ""clear""",No
86,1607893604026:514e8307-dde6-4069-b4ee-af5445a14c8e,1607893604026:b42afde3-ef21-439a-a9ff-043a5cc80e85,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""class java.lang.String""","pop == ""none""","clear == ""none""",Yes
87,1607893604026:514e8307-dde6-4069-b4ee-af5445a14c8e,1607893604026:b42afde3-ef21-439a-a9ff-043a5cc80e85,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""none""","pop == ""none""","clear == ""clear""",No
88,1607893604026:514e8307-dde6-4069-b4ee-af5445a14c8e,1607893604026:b42afde3-ef21-439a-a9ff-043a5cc80e85,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""none""","pop == ""none""","clear == ""clear""",No
89,1607893604026:514e8307-dde6-4069-b4ee-af5445a14c8e,1607893604026:b42afde3-ef21-439a-a9ff-043a5cc80e85,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""none""","pop == ""none""","clear == ""clear""",No
91,1607893604025:e4d7a5c5-d133-4186-8c0b-c367637cf587,1607893604025:da103305-2d94-4af1-85d5-90d7ca50ac60,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""class java.lang.String""","pop == ""none""","clear == ""none""",Yes
93,1607893604025:e4d7a5c5-d133-4186-8c0b-c367637cf587,1607893604025:96bd138a-2a25-4888-ba66-12b9f86939b2,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""class java.lang.String""","pop == ""none""","clear == ""none""",Yes
94,1607893604025:e4d7a5c5-d133-4186-8c0b-c367637cf587,1607893604025:96bd138a-2a25-4888-ba66-12b9f86939b2,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""none""","pop == ""EmptyObject""","clear == ""none""",No
96,1607893604025:98ca46fd-abba-406b-92ac-edb86c1e4688,1607893604025:f55d48a9-392b-4769-ae9c-4627186adf67,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""class java.lang.String""","pop == ""none""","clear == ""none""",Yes
97,1607893604025:98ca46fd-abba-406b-92ac-edb86c1e4688,1607893604025:f55d48a9-392b-4769-ae9c-4627186adf67,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""class java.lang.String""","pop == ""none""","clear == ""none""",Yes
99,1607893604025:98ca46fd-abba-406b-92ac-edb86c1e4688,1607893604025:c0db2683-00e7-47af-92fc-ae79989a2def,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""class java.lang.String""","pop == ""none""","clear == ""none""",Yes
100,1607893604025:98ca46fd-abba-406b-92ac-edb86c1e4688,1607893604025:c0db2683-00e7-47af-92fc-ae79989a2def,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""none""","pop == ""EmptyObject""","clear == ""none""",No
103,1607893604025:33d6615b-a056-4bae-add3-2c700065cc3f,1607893604025:aedd8b9b-8a5c-4292-8386-957e25ff33a5,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""class java.lang.String""","pop == ""none""","clear == ""none""",Yes
104,1607893604025:33d6615b-a056-4bae-add3-2c700065cc3f,1607893604025:aedd8b9b-8a5c-4292-8386-957e25ff33a5,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""none""","pop == ""EmptyObject""","clear == ""none""",No
106,1607893604025:33d6615b-a056-4bae-add3-2c700065cc3f,1607893604025:201df699-5d9f-46db-a180-19bf0b0753fd,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""class java.lang.String""","pop == ""none""","clear == ""none""",Yes
108,1607893604025:26e497d5-39ea-42bb-ad7d-4d8067ef6171,1607893604025:bf5d51f3-1dc0-453c-81cc-7087b9dc60c4,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""class java.lang.String""","pop == ""none""","clear == ""none""",Yes
109,1607893604025:26e497d5-39ea-42bb-ad7d-4d8067ef6171,1607893604025:bf5d51f3-1dc0-453c-81cc-7087b9dc60c4,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""none""","pop == ""EmptyObject""","clear == ""none""",No
111,1607893604025:26e497d5-39ea-42bb-ad7d-4d8067ef6171,1607893604025:3486a0f5-522d-41cd-afc1-40d24e6e6586,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""class java.lang.String""","pop == ""none""","clear == ""none""",Yes
113,1607893604024:865f9417-f098-4cea-9060-ce8e77c3ab57,1607893604024:8b9f78bf-707f-4137-a449-2eb0a50bffce,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""class java.lang.String""","pop == ""none""","clear == ""none""",Yes
114,1607893604024:865f9417-f098-4cea-9060-ce8e77c3ab57,1607893604024:8b9f78bf-707f-4137-a449-2eb0a50bffce,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""none""","pop == ""EmptyObject""","clear == ""none""",No
116,1607893604023:ebc1921e-0117-42a5-b1f6-2d41182d1027,1607893604023:a9413e2a-229c-4b61-97df-c70a166e63a0,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""none""","pop == ""none""","clear == ""clear""",No
117,1607893604023:ebc1921e-0117-42a5-b1f6-2d41182d1027,1607893604023:a9413e2a-229c-4b61-97df-c70a166e63a0,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""class java.lang.String""","pop == ""none""","clear == ""none""",Yes
118,1607893604023:ebc1921e-0117-42a5-b1f6-2d41182d1027,1607893604023:a9413e2a-229c-4b61-97df-c70a166e63a0,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""none""","pop == ""none""","clear == ""clear""",No
119,1607893604023:ebc1921e-0117-42a5-b1f6-2d41182d1027,1607893604023:a9413e2a-229c-4b61-97df-c70a166e63a0,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""none""","pop == ""none""","clear == ""clear""",No
120,1607893604023:ebc1921e-0117-42a5-b1f6-2d41182d1027,1607893604023:a9413e2a-229c-4b61-97df-c70a166e63a0,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""none""","pop == ""none""","clear == ""clear""",No
122,1607893604023:ebc1921e-0117-42a5-b1f6-2d41182d1027,1607893604023:a54613d2-2f9a-424c-a155-9a73fe653b16,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""class java.lang.String""","pop == ""none""","clear == ""none""",Yes
123,1607893604023:ebc1921e-0117-42a5-b1f6-2d41182d1027,1607893604023:a54613d2-2f9a-424c-a155-9a73fe653b16,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""none""","pop == ""EmptyObject""","clear == ""none""",No
125,1607893604023:cc26e69d-5b0e-4ffb-a924-4a0c9a5eed3b,1607893604023:1b835cc1-6f1a-4e3d-9242-0f421865d2cf,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""class java.lang.String""","pop == ""none""","clear == ""none""",Yes
126,1607893604023:cc26e69d-5b0e-4ffb-a924-4a0c9a5eed3b,1607893604023:1b835cc1-6f1a-4e3d-9242-0f421865d2cf,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""none""","pop == ""EmptyObject""","clear == ""none""",No
128,1607893604023:cc26e69d-5b0e-4ffb-a924-4a0c9a5eed3b,1607893604023:0b4ea57d-9f4f-4f1d-9b6e-f4f0dc980e0b,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""none""","pop == ""none""","clear == ""clear""",No
129,1607893604023:cc26e69d-5b0e-4ffb-a924-4a0c9a5eed3b,1607893604023:0b4ea57d-9f4f-4f1d-9b6e-f4f0dc980e0b,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""class java.lang.String""","pop == ""none""","clear == ""none""",Yes
130,1607893604023:cc26e69d-5b0e-4ffb-a924-4a0c9a5eed3b,1607893604023:0b4ea57d-9f4f-4f1d-9b6e-f4f0dc980e0b,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""none""","pop == ""none""","clear == ""clear""",No
131,1607893604023:cc26e69d-5b0e-4ffb-a924-4a0c9a5eed3b,1607893604023:0b4ea57d-9f4f-4f1d-9b6e-f4f0dc980e0b,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""none""","pop == ""none""","clear == ""clear""",No
132,1607893604023:cc26e69d-5b0e-4ffb-a924-4a0c9a5eed3b,1607893604023:0b4ea57d-9f4f-4f1d-9b6e-f4f0dc980e0b,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""none""","pop == ""none""","clear == ""clear""",No
134,1607893604023:bdee2c01-5b07-4a5f-b8f1-ccc0e7d9cbb6,1607893604023:8fada1aa-819d-4319-ba44-60b9f10b0656,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""class java.lang.String""","pop == ""none""","clear == ""none""",Yes
135,1607893604023:bdee2c01-5b07-4a5f-b8f1-ccc0e7d9cbb6,1607893604023:8fada1aa-819d-4319-ba44-60b9f10b0656,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""class java.lang.String""","pop == ""none""","clear == ""none""",Yes
137,1607893604023:bdee2c01-5b07-4a5f-b8f1-ccc0e7d9cbb6,1607893604023:7c31a7cd-e594-4d19-9cae-a30ccd93fe07,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""class java.lang.String""","pop == ""none""","clear == ""none""",Yes
138,1607893604023:bdee2c01-5b07-4a5f-b8f1-ccc0e7d9cbb6,1607893604023:7c31a7cd-e594-4d19-9cae-a30ccd93fe07,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""none""","pop == ""EmptyObject""","clear == ""none""",No
140,1607893604023:b590a883-4448-420f-adec-fef91a7f8b96,1607893604024:92152ac7-9460-429f-9617-299bf8b7fa8a,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""class java.lang.String""","pop == ""none""","clear == ""none""",Yes
141,1607893604023:b590a883-4448-420f-adec-fef91a7f8b96,1607893604024:92152ac7-9460-429f-9617-299bf8b7fa8a,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""none""","pop == ""EmptyObject""","clear == ""none""",No
143,1607893604023:b590a883-4448-420f-adec-fef91a7f8b96,1607893604023:db20c685-0834-44f7-9701-6cfa4279a0db,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""class java.lang.String""","pop == ""none""","clear == ""none""",Yes
146,1607893604023:98c62ee6-ff8e-4679-9020-c1be67fcab9d,1607893604023:fb15b7c7-6520-461f-ba62-642f8cfd41ba,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""class java.lang.String""","pop == ""none""","clear == ""none""",Yes
147,1607893604023:98c62ee6-ff8e-4679-9020-c1be67fcab9d,1607893604023:fb15b7c7-6520-461f-ba62-642f8cfd41ba,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""none""","pop == ""EmptyObject""","clear == ""none""",No
149,1607893604022:c2ff051e-7573-4cf0-961d-0a9f0ce46fc3,1607893604022:7f0dc47a-bddd-40f1-9914-3ac4a6ec2269,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""class java.lang.String""","pop == ""none""","clear == ""none""",Yes
