,testId,instanceId,size,isEmpty,peek_obj_type,push,pop,clear,size_p,isEmpty_p,peek_obj_type_p,push_p,pop_p,clear_p,calledMethod,diff
55,1607893176350:9235d0cd-c33e-4d14-bcea-f5574eca2095,1607893176350:33bf50dc-01eb-4aa8-84c7-8c7eaeb618c5,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""none""","pop == ""none""","clear == ""clear""","size_p == ""0""","isEmpty_p == ""True""","peek_obj_type_p == ""EmptyObject""","push_p == ""none""","pop_p == ""none""","clear_p == ""none""","calledMethod == ""clear""",No
62,1607893176349:932f44dd-ef76-4c98-b4c3-9b2c25805085,1607893176349:797cf7a9-6d2e-449a-8b42-a0f196b3b067,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""none""","pop == ""none""","clear == ""clear""","size_p == ""0""","isEmpty_p == ""True""","peek_obj_type_p == ""EmptyObject""","push_p == ""none""","pop_p == ""none""","clear_p == ""none""","calledMethod == ""clear""",No
72,1607893176348:062ff35d-de4a-4ca6-8c2b-73f8cc3fcfd6,1607893176348:b741e3a5-0d79-4861-a202-872b59bd325e,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""none""","pop == ""none""","clear == ""clear""","size_p == ""0""","isEmpty_p == ""True""","peek_obj_type_p == ""EmptyObject""","push_p == ""none""","pop_p == ""none""","clear_p == ""none""","calledMethod == ""clear""",No
78,1607893176347:7a116e4b-0017-4401-9391-ca34ef126739,1607893176347:8455e41b-a2df-47c4-878d-00b8d33909fc,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""none""","pop == ""none""","clear == ""clear""","size_p == ""0""","isEmpty_p == ""True""","peek_obj_type_p == ""EmptyObject""","push_p == ""none""","pop_p == ""none""","clear_p == ""none""","calledMethod == ""clear""",No
88,1607893176346:005bec60-476c-4e24-8584-6c0f8f60cf6c,1607893176346:3dddaf26-a82a-49bb-84e7-9bd1d04cc560,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""none""","pop == ""none""","clear == ""clear""","size_p == ""0""","isEmpty_p == ""True""","peek_obj_type_p == ""EmptyObject""","push_p == ""none""","pop_p == ""none""","clear_p == ""none""","calledMethod == ""clear""",No
90,1607893176345:e4e4f486-abb5-4bad-9945-910667dd026f,1607893176345:fdd302f6-3a04-42ca-a16e-2a2630b5bcd8,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""none""","pop == ""none""","clear == ""clear""","size_p == ""0""","isEmpty_p == ""True""","peek_obj_type_p == ""EmptyObject""","push_p == ""none""","pop_p == ""none""","clear_p == ""none""","calledMethod == ""clear""",No
98,1607893176344:e8664822-8ee7-4676-92e5-92af1e15db74,1607893176344:6efc7b8a-7fe5-406d-b728-a1909268dcc4,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""none""","pop == ""none""","clear == ""clear""","size_p == ""0""","isEmpty_p == ""True""","peek_obj_type_p == ""EmptyObject""","push_p == ""none""","pop_p == ""none""","clear_p == ""none""","calledMethod == ""clear""",No
110,1607893176343:3c501c54-6d06-4e9d-9260-b33bf0882ae4,1607893176343:1135e0ac-a6ee-426e-9890-572967d5847b,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""none""","pop == ""none""","clear == ""clear""","size_p == ""0""","isEmpty_p == ""True""","peek_obj_type_p == ""EmptyObject""","push_p == ""none""","pop_p == ""none""","clear_p == ""none""","calledMethod == ""clear""",No
112,1607893176343:0d1247b9-94a5-4b21-b1b7-16e56129725c,1607893176343:13d1cc48-b277-4c78-a843-0970e7865711,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""none""","pop == ""none""","clear == ""clear""","size_p == ""0""","isEmpty_p == ""True""","peek_obj_type_p == ""EmptyObject""","push_p == ""none""","pop_p == ""none""","clear_p == ""none""","calledMethod == ""clear""",No
117,1607893176342:9930910a-0315-4db4-8b0f-7ca173f6907a,1607893176342:b8b573db-1248-41b3-9c2e-573ea7fecbfd,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""none""","pop == ""none""","clear == ""clear""","size_p == ""0""","isEmpty_p == ""True""","peek_obj_type_p == ""EmptyObject""","push_p == ""none""","pop_p == ""none""","clear_p == ""none""","calledMethod == ""clear""",No
121,1607893176341:e5a68862-cad2-4979-9d75-5ae710856a6c,1607893176341:b0175044-f973-41c0-9064-a9be19b90c74,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""none""","pop == ""none""","clear == ""clear""","size_p == ""0""","isEmpty_p == ""True""","peek_obj_type_p == ""EmptyObject""","push_p == ""none""","pop_p == ""none""","clear_p == ""none""","calledMethod == ""clear""",No
123,1607893176341:d7544831-a6a1-4a54-b3e7-6b1fcfeed846,1607893176341:d524afc4-0d31-42ba-b2cf-f906ea3a2dff,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""none""","pop == ""none""","clear == ""clear""","size_p == ""0""","isEmpty_p == ""True""","peek_obj_type_p == ""EmptyObject""","push_p == ""none""","pop_p == ""none""","clear_p == ""none""","calledMethod == ""clear""",No
126,1607893176341:a23530b3-9a02-4140-b967-a4361db53e36,1607893176341:d3f95cc1-9c24-45ff-8fbb-37704c6d6775,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""none""","pop == ""none""","clear == ""clear""","size_p == ""0""","isEmpty_p == ""True""","peek_obj_type_p == ""EmptyObject""","push_p == ""none""","pop_p == ""none""","clear_p == ""none""","calledMethod == ""clear""",No
129,1607893176341:0e5013ac-fb80-442e-912f-7b814ecc4ec2,1607893176341:799eda94-f8b1-41d8-9182-9ecf1fee5d63,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""none""","pop == ""none""","clear == ""clear""","size_p == ""0""","isEmpty_p == ""True""","peek_obj_type_p == ""EmptyObject""","push_p == ""none""","pop_p == ""none""","clear_p == ""none""","calledMethod == ""clear""",No
131,1607893176340:e3ca7b9c-debe-4bdb-919d-6c8dc08edbef,1607893176340:43211a22-6223-4d97-8119-c4964c0328a2,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""none""","pop == ""none""","clear == ""clear""","size_p == ""0""","isEmpty_p == ""True""","peek_obj_type_p == ""EmptyObject""","push_p == ""none""","pop_p == ""none""","clear_p == ""none""","calledMethod == ""clear""",No
133,1607893176340:c8703c07-da77-41c7-88cd-026dfe353740,1607893176340:aace68f2-c23d-435d-a0c8-af3e617753a7,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""none""","pop == ""none""","clear == ""clear""","size_p == ""0""","isEmpty_p == ""True""","peek_obj_type_p == ""EmptyObject""","push_p == ""none""","pop_p == ""none""","clear_p == ""none""","calledMethod == ""clear""",No
135,1607893176340:c4bfdba9-93bf-4283-b6bb-9a13751a7d0d,1607893176340:030c9828-8e8f-44b2-b6d6-743ae2979467,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""none""","pop == ""none""","clear == ""clear""","size_p == ""0""","isEmpty_p == ""True""","peek_obj_type_p == ""EmptyObject""","push_p == ""none""","pop_p == ""none""","clear_p == ""none""","calledMethod == ""clear""",No
140,1607893176339:d5cdfdf1-3fdd-4ad8-be09-92207d1fc3d5,1607893176339:c722fc36-9838-41b4-998c-307b534b24c0,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""none""","pop == ""none""","clear == ""clear""","size_p == ""0""","isEmpty_p == ""True""","peek_obj_type_p == ""EmptyObject""","push_p == ""none""","pop_p == ""none""","clear_p == ""none""","calledMethod == ""clear""",No
153,1607893176337:fe4f2161-e39e-4c0b-8c15-7166d9d97007,1607893176337:60bdb47a-972d-4b24-8405-ce37121eb780,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""none""","pop == ""none""","clear == ""clear""","size_p == ""0""","isEmpty_p == ""True""","peek_obj_type_p == ""EmptyObject""","push_p == ""none""","pop_p == ""none""","clear_p == ""none""","calledMethod == ""clear""",No
157,1607893176337:7a9811bf-d0aa-4c00-965e-8b218e8af21c,1607893176337:9aae3013-5858-42f7-a3c8-751bd764bbeb,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""none""","pop == ""none""","clear == ""clear""","size_p == ""0""","isEmpty_p == ""True""","peek_obj_type_p == ""EmptyObject""","push_p == ""none""","pop_p == ""none""","clear_p == ""none""","calledMethod == ""clear""",No
161,1607893176336:b8cb2454-6501-4843-ae11-7d636d1f529e,1607893176336:baefc629-9b02-42b1-8784-329f46336b6c,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""none""","pop == ""none""","clear == ""clear""","size_p == ""0""","isEmpty_p == ""True""","peek_obj_type_p == ""EmptyObject""","push_p == ""none""","pop_p == ""none""","clear_p == ""none""","calledMethod == ""clear""",No
163,1607893176336:825a0fe9-b66d-4a8b-8124-7b06bc5754a7,1607893176336:12b6c8f5-df5e-4b8f-aa2f-b934aa318535,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""none""","pop == ""none""","clear == ""clear""","size_p == ""0""","isEmpty_p == ""True""","peek_obj_type_p == ""EmptyObject""","push_p == ""none""","pop_p == ""none""","clear_p == ""none""","calledMethod == ""clear""",No
166,1607893176336:37fdb40c-ff8c-4d83-b39f-e171f38e8006,1607893176336:b5633aca-56bb-4ff4-9456-865ff2022dc5,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""none""","pop == ""none""","clear == ""clear""","size_p == ""0""","isEmpty_p == ""True""","peek_obj_type_p == ""EmptyObject""","push_p == ""none""","pop_p == ""none""","clear_p == ""none""","calledMethod == ""clear""",No
168,1607893176336:32ee822e-fd03-4757-827c-f5f4f095bc4b,1607893176336:1b4613f7-9a28-4f6b-88bd-64b8656d4b11,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""none""","pop == ""none""","clear == ""clear""","size_p == ""0""","isEmpty_p == ""True""","peek_obj_type_p == ""EmptyObject""","push_p == ""none""","pop_p == ""none""","clear_p == ""none""","calledMethod == ""clear""",No
171,1607893176335:beb4f624-868b-4002-9203-1d2266aa1bbe,1607893176335:f9112f28-09dd-464b-9115-172df37f2307,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""none""","pop == ""none""","clear == ""clear""","size_p == ""0""","isEmpty_p == ""True""","peek_obj_type_p == ""EmptyObject""","push_p == ""none""","pop_p == ""none""","clear_p == ""none""","calledMethod == ""clear""",No
181,1607893176334:5004fee3-31a5-4f37-897a-2fc828067352,1607893176334:3cd2b814-70cf-4bdb-9ac9-6349a302ce75,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""none""","pop == ""none""","clear == ""clear""","size_p == ""0""","isEmpty_p == ""True""","peek_obj_type_p == ""EmptyObject""","push_p == ""none""","pop_p == ""none""","clear_p == ""none""","calledMethod == ""clear""",No
184,1607893176333:c22462c8-b8e8-493d-ae97-7221d82032b3,1607893176333:be342ed8-514d-426c-8fea-406297863bff,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""none""","pop == ""none""","clear == ""clear""","size_p == ""0""","isEmpty_p == ""True""","peek_obj_type_p == ""EmptyObject""","push_p == ""none""","pop_p == ""none""","clear_p == ""none""","calledMethod == ""clear""",No
187,1607893176333:64b5852f-f2ce-4549-8e17-d6b34944a0ef,1607893176333:71a6c222-0d26-4e89-bb5d-ed1e107d6be4,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""none""","pop == ""none""","clear == ""clear""","size_p == ""0""","isEmpty_p == ""True""","peek_obj_type_p == ""EmptyObject""","push_p == ""none""","pop_p == ""none""","clear_p == ""none""","calledMethod == ""clear""",No
190,1607893176333:05fd7105-9f52-4638-aa14-3b6cc59acdc1,1607893176333:eb5f4b20-b6ac-465e-b85e-f8d2644f6383,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""none""","pop == ""none""","clear == ""clear""","size_p == ""0""","isEmpty_p == ""True""","peek_obj_type_p == ""EmptyObject""","push_p == ""none""","pop_p == ""none""","clear_p == ""none""","calledMethod == ""clear""",No
192,1607893176332:b72ef214-c5ad-4b65-9714-6457f83b1603,1607893176332:5dafb40d-ce5b-43c3-801b-34513982e4d9,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""none""","pop == ""none""","clear == ""clear""","size_p == ""0""","isEmpty_p == ""True""","peek_obj_type_p == ""EmptyObject""","push_p == ""none""","pop_p == ""none""","clear_p == ""none""","calledMethod == ""clear""",No
196,1607893176332:3f6771cf-ab14-4291-b95b-8710fa3e9972,1607893176332:36bd4f03-4395-47c1-b141-0cd590f51003,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""none""","pop == ""none""","clear == ""clear""","size_p == ""0""","isEmpty_p == ""True""","peek_obj_type_p == ""EmptyObject""","push_p == ""none""","pop_p == ""none""","clear_p == ""none""","calledMethod == ""clear""",No
200,1607893176331:f0dea587-e5e5-49ef-b984-42e47e714499,1607893176331:b9d96cb8-2b74-4510-ab3c-3e8ed70d4c20,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""none""","pop == ""none""","clear == ""clear""","size_p == ""0""","isEmpty_p == ""True""","peek_obj_type_p == ""EmptyObject""","push_p == ""none""","pop_p == ""none""","clear_p == ""none""","calledMethod == ""clear""",No
205,1607893176331:b4a6d981-9453-4475-8dfc-a43dfdc9c964,1607893176331:51e17eda-2b03-45ff-a563-07e6ff3766d6,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""none""","pop == ""none""","clear == ""clear""","size_p == ""0""","isEmpty_p == ""True""","peek_obj_type_p == ""EmptyObject""","push_p == ""none""","pop_p == ""none""","clear_p == ""none""","calledMethod == ""clear""",No
207,1607893176331:9dd98866-eb24-4834-8ee1-2aa5859b7a63,1607893176331:0a37bcfd-aea4-48ca-9f79-41728118c6e7,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""none""","pop == ""none""","clear == ""clear""","size_p == ""0""","isEmpty_p == ""True""","peek_obj_type_p == ""EmptyObject""","push_p == ""none""","pop_p == ""none""","clear_p == ""none""","calledMethod == ""clear""",No
219,1607893176329:88a5b2b6-d885-4508-8887-35456edf7d31,1607893176329:cabfcbc8-b7be-4899-85ac-cb7221056945,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""none""","pop == ""none""","clear == ""clear""","size_p == ""0""","isEmpty_p == ""True""","peek_obj_type_p == ""EmptyObject""","push_p == ""none""","pop_p == ""none""","clear_p == ""none""","calledMethod == ""clear""",No
222,1607893176329:4b812a19-3517-4a87-b69e-74eebc0289b5,1607893176329:7f350eaa-e264-4f56-81b8-59f7b95ef69f,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""none""","pop == ""none""","clear == ""clear""","size_p == ""0""","isEmpty_p == ""True""","peek_obj_type_p == ""EmptyObject""","push_p == ""none""","pop_p == ""none""","clear_p == ""none""","calledMethod == ""clear""",No
226,1607893176328:d87df4b7-6b9c-4119-afdb-5ef5f5cc24c4,1607893176328:b6fc58b7-f22d-4826-a4c1-a8d964d260ec,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""none""","pop == ""none""","clear == ""clear""","size_p == ""0""","isEmpty_p == ""True""","peek_obj_type_p == ""EmptyObject""","push_p == ""none""","pop_p == ""none""","clear_p == ""none""","calledMethod == ""clear""",No
229,1607893176328:8b180244-e96f-4022-ae0d-760baf6c2934,1607893176328:8f67dd30-2b36-4810-91ff-0e0505dfeec3,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""none""","pop == ""none""","clear == ""clear""","size_p == ""0""","isEmpty_p == ""True""","peek_obj_type_p == ""EmptyObject""","push_p == ""none""","pop_p == ""none""","clear_p == ""none""","calledMethod == ""clear""",No
231,1607893176328:674113b7-b64d-4cb7-abf8-e9780d0d2335,1607893176328:28dc37c2-1da4-4376-87c4-9bd4dd0f2628,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""none""","pop == ""none""","clear == ""clear""","size_p == ""0""","isEmpty_p == ""True""","peek_obj_type_p == ""EmptyObject""","push_p == ""none""","pop_p == ""none""","clear_p == ""none""","calledMethod == ""clear""",No
235,1607893176327:98a640e3-ddf1-4248-817d-3891c9dd290d,1607893176327:d70dd997-9605-4a56-9812-5ca8dc25d245,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""none""","pop == ""none""","clear == ""clear""","size_p == ""0""","isEmpty_p == ""True""","peek_obj_type_p == ""EmptyObject""","push_p == ""none""","pop_p == ""none""","clear_p == ""none""","calledMethod == ""clear""",No
237,1607893176327:98a640e3-ddf1-4248-817d-3891c9dd290d,1607893176327:b05bcb63-1b08-443f-acbe-bcf101d1b0b6,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""none""","pop == ""none""","clear == ""clear""","size_p == ""0""","isEmpty_p == ""True""","peek_obj_type_p == ""EmptyObject""","push_p == ""none""","pop_p == ""none""","clear_p == ""none""","calledMethod == ""clear""",No
238,1607893176327:98a640e3-ddf1-4248-817d-3891c9dd290d,1607893176327:b05bcb63-1b08-443f-acbe-bcf101d1b0b6,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""none""","pop == ""none""","clear == ""clear""","size_p == ""0""","isEmpty_p == ""True""","peek_obj_type_p == ""EmptyObject""","push_p == ""none""","pop_p == ""none""","clear_p == ""clear""","calledMethod == ""clear""",No
239,1607893176327:98a640e3-ddf1-4248-817d-3891c9dd290d,1607893176327:b05bcb63-1b08-443f-acbe-bcf101d1b0b6,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""none""","pop == ""none""","clear == ""clear""","size_p == ""0""","isEmpty_p == ""True""","peek_obj_type_p == ""EmptyObject""","push_p == ""none""","pop_p == ""none""","clear_p == ""clear""","calledMethod == ""clear""",No
245,1607893176326:ef7e83c0-0530-41cf-b635-e238ef5e663e,1607893176326:688e8c5e-4ed2-4374-bd46-a32a33fe88e0,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""none""","pop == ""none""","clear == ""clear""","size_p == ""0""","isEmpty_p == ""True""","peek_obj_type_p == ""EmptyObject""","push_p == ""none""","pop_p == ""none""","clear_p == ""none""","calledMethod == ""clear""",No
248,1607893176326:7e75e009-550f-4dfd-b669-6115fa989ce3,1607893176326:bb5ff682-98b7-4349-bcf2-145303942fca,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""none""","pop == ""none""","clear == ""clear""","size_p == ""0""","isEmpty_p == ""True""","peek_obj_type_p == ""EmptyObject""","push_p == ""none""","pop_p == ""none""","clear_p == ""none""","calledMethod == ""clear""",No
251,1607893176326:3abede5b-87bf-4ba4-952d-327132463cb0,1607893176326:c48cc8f8-2495-4083-8c63-c0fe81b9e083,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""none""","pop == ""none""","clear == ""clear""","size_p == ""0""","isEmpty_p == ""True""","peek_obj_type_p == ""EmptyObject""","push_p == ""none""","pop_p == ""none""","clear_p == ""none""","calledMethod == ""clear""",No
256,1607893176325:af2be83b-a729-4535-9d44-334ab242fdc3,1607893176325:722f5f01-4e9e-4cc6-823b-dac6ff39eb51,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""none""","pop == ""none""","clear == ""clear""","size_p == ""0""","isEmpty_p == ""True""","peek_obj_type_p == ""EmptyObject""","push_p == ""none""","pop_p == ""none""","clear_p == ""none""","calledMethod == ""clear""",No
268,1607893176324:226841a6-f333-42c9-8813-31e8d7886621,1607893176324:3e526233-0b09-43f7-aec8-99b0adbfe5e6,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""none""","pop == ""none""","clear == ""clear""","size_p == ""0""","isEmpty_p == ""True""","peek_obj_type_p == ""EmptyObject""","push_p == ""none""","pop_p == ""none""","clear_p == ""none""","calledMethod == ""clear""",No
272,1607893176323:761f25ab-f5bc-4987-8724-767db8b676ad,1607893176323:480a908f-b568-43ee-b3ec-881420769f7d,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""none""","pop == ""none""","clear == ""clear""","size_p == ""0""","isEmpty_p == ""True""","peek_obj_type_p == ""EmptyObject""","push_p == ""none""","pop_p == ""none""","clear_p == ""none""","calledMethod == ""clear""",No
275,1607893176323:47e78526-56a2-428b-8df3-c96130c9ed71,1607893176323:a04e3fee-c7b9-433f-8d04-6e3b9b64ca08,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""none""","pop == ""none""","clear == ""clear""","size_p == ""0""","isEmpty_p == ""True""","peek_obj_type_p == ""EmptyObject""","push_p == ""none""","pop_p == ""none""","clear_p == ""none""","calledMethod == ""clear""",No
278,1607893176322:f67cff84-b1bd-45f3-9668-2471b067efe3,1607893176322:4c1387a4-9ee4-4405-b81b-6e6491c06f39,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""none""","pop == ""none""","clear == ""clear""","size_p == ""0""","isEmpty_p == ""True""","peek_obj_type_p == ""EmptyObject""","push_p == ""none""","pop_p == ""none""","clear_p == ""none""","calledMethod == ""clear""",No
283,1607893176322:98181cb6-c003-496e-b5dd-e22602a5400e,1607893176322:5526e116-0639-427b-ac9c-b50a03fe9383,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""none""","pop == ""none""","clear == ""clear""","size_p == ""0""","isEmpty_p == ""True""","peek_obj_type_p == ""EmptyObject""","push_p == ""none""","pop_p == ""none""","clear_p == ""none""","calledMethod == ""clear""",No
287,1607893176321:fc009245-fd9f-4520-812c-2231d3c514fd,1607893176321:a85dfb13-56a9-47ee-9b73-7ca3dd3026b6,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""none""","pop == ""none""","clear == ""clear""","size_p == ""0""","isEmpty_p == ""True""","peek_obj_type_p == ""EmptyObject""","push_p == ""none""","pop_p == ""none""","clear_p == ""none""","calledMethod == ""clear""",No
293,1607893176320:f1fd1a60-39d4-45a1-b6f0-805af6745995,1607893176320:66e8c65b-e123-4573-9cff-0fecccb14de3,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""none""","pop == ""none""","clear == ""clear""","size_p == ""0""","isEmpty_p == ""True""","peek_obj_type_p == ""EmptyObject""","push_p == ""none""","pop_p == ""none""","clear_p == ""none""","calledMethod == ""clear""",No
